Resume Text,Skills,Experience,Education,Job Category
"Python developer with experience in machine learning data analysis predictive modeling and statistical analysis","Python; Machine Learning; Pandas; NumPy; Scikit-learn; SQL","2 years","B.Tech Computer Science","Data Science"
"Data analyst experienced in analyzing datasets creating reports dashboards and business insights","Python; SQL; Excel; Power BI; Pandas; Data Analysis","2 years","B.Sc Statistics","Data Science"
"Machine learning engineer experienced in developing predictive models classification regression and feature engineering","Python; Machine Learning; TensorFlow; Scikit-learn; Pandas","3 years","M.Tech Artificial Intelligence","Artificial Intelligence"
"Deep learning engineer working with neural networks computer vision CNN and TensorFlow","Python; TensorFlow; PyTorch; Deep Learning; CNN; Computer Vision","3 years","M.Tech AI","Artificial Intelligence"
"AI engineer developing intelligent systems using Python machine learning deep learning and NLP","Python; NLP; Machine Learning; Deep Learning; TensorFlow","2 years","M.Tech Artificial Intelligence","Artificial Intelligence"
"Software developer experienced in Python Django Flask REST APIs and backend application development","Python; Django; Flask; REST API; Git; SQL","3 years","B.E Computer Science","Software Development"
"Backend developer building scalable applications and APIs using Java Spring Boot and SQL databases","Java; Spring Boot; REST API; SQL; Git","3 years","B.Tech IT","Software Development"
"Full stack software engineer developing backend APIs and web applications using Python React and databases","Python; React; SQL; REST API; Git; JavaScript","3 years","B.Tech Computer Science","Software Development"
"Frontend developer experienced in responsive web development using HTML CSS JavaScript and React","HTML; CSS; JavaScript; React; Git","2 years","B.Tech Information Technology","Web Development"
"Web developer creating modern websites with JavaScript React HTML CSS and responsive design","JavaScript; React; HTML; CSS; Bootstrap","2 years","B.Sc Computer Science","Web Development"
"Frontend engineer specializing in React JavaScript CSS UI design and responsive websites","React; JavaScript; CSS; HTML; UI Design","2 years","B.E IT","Web Development"
"Cloud engineer managing AWS infrastructure Linux containers and cloud deployments","AWS; Linux; Docker; Cloud; Kubernetes","4 years","B.E Computer Science","DevOps"
"DevOps engineer experienced with Docker Kubernetes Jenkins CI CD pipelines and AWS infrastructure","Docker; Kubernetes; Jenkins; AWS; CI/CD; Linux","4 years","B.Tech IT","DevOps"
"Cloud DevOps engineer managing CI CD automation containers Kubernetes AWS and Linux systems","AWS; Docker; Kubernetes; Jenkins; Linux; CI/CD","4 years","B.E Computer Science","DevOps"
"Data scientist building machine learning models and performing statistical analysis using Python","Python; Machine Learning; Statistics; Pandas; NumPy; SQL","3 years","M.Sc Data Science","Data Science"
