Job Title,Company Name,Location,Experience,Skills,Salary,Source,Job URL
Python Developer,TechNova,Chennai,0-2 years,"Python, SQL, Git",₹6-10 LPA,Demo,Demo
Data Scientist,DataSphere,Bangalore,1-3 years,"Python, SQL, Machine Learning",₹8-14 LPA,Demo,Demo
Machine Learning Engineer,AI Labs,Hyderabad,2-4 years,"Python, TensorFlow, Docker",₹10-18 LPA,Demo,Demo
Python Developer,CloudWorks,Chennai,0-2 years,"Python, Django, SQL",₹5-9 LPA,Demo,Demo
Data Analyst,Insight Analytics,Bangalore,1-2 years,"SQL, Power BI, Excel",₹5-8 LPA,Demo,Demo
AI Engineer,FutureAI,Remote,2-4 years,"Python, Deep Learning, AWS",₹10-18 LPA,Demo,Demo
Software Engineer,CodeCraft,Pune,1-3 years,"Java, Spring, SQL",₹6-11 LPA,Demo,Demo
Data Scientist,DataSphere,Bangalore,1-3 years,"Python, Machine Learning, SQL",₹8-14 LPA,Demo,Demo
ML Engineer,AI Labs,Hyderabad,2-4 years,"Python, PyTorch, Docker",₹10-17 LPA,Demo,Demo
AI Engineer,FutureAI,Remote,2-5 years,"Python, NLP, AWS",₹9-16 LPA,Demo,Demo
Data Analyst,Insight Analytics,Chennai,0-2 years,"SQL, Excel, Power BI",₹5-9 LPA,Demo,Demo
Python Developer,TechNova,Pune,0-2 years,"Python, Git, MongoDB",₹6-10 LPA,Demo,Demo
Data Engineer,CloudWorks,Bangalore,1-3 years,"Python, SQL, AWS",₹7-13 LPA,Demo,Demo
AI Developer,FutureAI,Chennai,1-3 years,"Python, Artificial Intelligence, NLP",₹8-15 LPA,Demo,Demo
Software Engineer,CodeCraft,Hyderabad,1-3 years,"Java, SQL, Git",₹6-11 LPA,Demo,Demo
Cloud Engineer,CloudWorks,Bangalore,2-4 years,"AWS, Docker, Python",₹8-15 LPA,Demo,Demo
Data Scientist,DataSphere,Remote,1-3 years,"Python, Machine Learning, SQL",₹9-15 LPA,Demo,Demo
Python Developer,TechNova,Chennai,0-2 years,"Python, Django, Git",₹6-10 LPA,Demo,Demo
ML Engineer,AI Labs,Hyderabad,2-4 years,"Python, PyTorch, Machine Learning",₹10-17 LPA,Demo,Demo
Data Analyst,Insight Analytics,Pune,1-2 years,"SQL, Excel, Power BI",₹5-9 LPA,Demo,Demo
